label,target,category
V06,NP3RIGLU#V06,numerical
V08,NP3RIGLU#V08,numerical
V10,NP3RIGLU#V10,numerical
V12,NP3RIGLU#V12,numerical
BL,NP3RIGN#BL,numerical
V04,NP3RIGN#V04,numerical
V06,NP3RIGN#V06,numerical
V08,NP3RIGN#V08,numerical
V10,NP3RIGN#V10,numerical
V12,NP3RIGN#V12,numerical
BL,NP3RIGRU#BL,numerical
V04,NP3RIGRU#V04,numerical
V06,NP3RIGRU#V06,numerical
V08,NP3RIGRU#V08,numerical
V10,NP3RIGRU#V10,numerical
V12,NP3RIGRU#V12,numerical
BL,NP3RISNG#BL,numerical
V04,NP3RISNG#V04,numerical
V06,NP3RISNG#V06,numerical
V08,NP3RISNG#V08,numerical
V10,NP3RISNG#V10,numerical
V12,NP3RISNG#V12,numerical
BL,NP3RTALJ#BL,numerical
V04,NP3RTALJ#V04,numerical
V06,NP3RTALJ#V06,numerical
V08,NP3RTALJ#V08,numerical
V10,NP3RTALJ#V10,numerical
V12,NP3RTALJ#V12,numerical
BL,NP3RTALL#BL,numerical
V04,NP3RTALL#V04,numerical
V06,NP3RTALL#V06,numerical
V08,NP3RTALL#V08,numerical
V10,NP3RTALL#V10,numerical
V12,NP3RTALL#V12,numerical
BL,NP3RTALU#BL,numerical
V04,NP3RTALU#V04,numerical
V06,NP3RTALU#V06,numerical
V08,NP3RTALU#V08,numerical
V10,NP3RTALU#V10,numerical
V12,NP3RTALU#V12,numerical
BL,NP3RTARL#BL,numerical
V04,NP3RTARL#V04,numerical
V06,NP3RTARL#V06,numerical
V08,NP3RTARL#V08,numerical
V10,NP3RTARL#V10,numerical
V12,NP3RTARL#V12,numerical
BL,NP3RTARU#BL,numerical
V04,NP3RTARU#V04,numerical
V06,NP3RTARU#V06,numerical
V08,NP3RTARU#V08,numerical
V10,NP3RTARU#V10,numerical
V12,NP3RTARU#V12,numerical
BL,NP3RTCON#BL,numerical
V04,NP3RTCON#V04,numerical
V06,NP3RTCON#V06,numerical
V08,NP3RTCON#V08,numerical
V10,NP3RTCON#V10,numerical
V12,NP3RTCON#V12,numerical
BL,NP3SPCH#BL,numerical
V04,NP3SPCH#V04,numerical
V06,NP3SPCH#V06,numerical
V08,NP3SPCH#V08,numerical
V10,NP3SPCH#V10,numerical
V12,NP3SPCH#V12,numerical
BL,NP3TTAPL#BL,numerical
V04,NP3TTAPL#V04,numerical
V06,NP3TTAPL#V06,numerical
V08,NP3TTAPL#V08,numerical
V10,NP3TTAPL#V10,numerical
V12,NP3TTAPL#V12,numerical
BL,NP3TTAPR#BL,numerical
V04,NP3TTAPR#V04,numerical
V06,NP3TTAPR#V06,numerical
V08,NP3TTAPR#V08,numerical
V10,NP3TTAPR#V10,numerical
V12,NP3TTAPR#V12,numerical
BL,PN3RIGRL#BL,numerical
V04,PN3RIGRL#V04,numerical
V06,PN3RIGRL#V06,numerical
V08,PN3RIGRL#V08,numerical
V10,PN3RIGRL#V10,numerical
V12,PN3RIGRL#V12,numerical
BL,ESS1#BL,numerical
V04,ESS1#V04,numerical
V06,ESS1#V06,numerical
V08,ESS1#V08,numerical
V10,ESS1#V10,numerical
V12,ESS1#V12,numerical
BL,ESS2#BL,numerical
V04,ESS2#V04,numerical
V06,ESS2#V06,numerical
V08,ESS2#V08,numerical
V10,ESS2#V10,numerical
V12,ESS2#V12,numerical
BL,ESS3#BL,numerical
V04,ESS3#V04,numerical
V06,ESS3#V06,numerical
V08,ESS3#V08,numerical
V10,ESS3#V10,numerical
V12,ESS3#V12,numerical
BL,ESS4#BL,numerical
V04,ESS4#V04,numerical
V06,ESS4#V06,numerical
V08,ESS4#V08,numerical
V10,ESS4#V10,numerical
V12,ESS4#V12,numerical
BL,ESS5#BL,numerical
V04,ESS5#V04,numerical
V06,ESS5#V06,numerical
V08,ESS5#V08,numerical
V10,ESS5#V10,numerical
V12,ESS5#V12,numerical
BL,ESS6#BL,numerical
V04,ESS6#V04,numerical
V06,ESS6#V06,numerical
V08,ESS6#V08,numerical
V10,ESS6#V10,numerical
V12,ESS6#V12,numerical
BL,ESS7#BL,numerical
V04,ESS7#V04,numerical
V06,ESS7#V06,numerical
V08,ESS7#V08,numerical
V10,ESS7#V10,numerical
V12,ESS7#V12,numerical
BL,ESS8#BL,numerical
V04,ESS8#V04,numerical
V06,ESS8#V06,numerical
V08,ESS8#V08,numerical
V10,ESS8#V10,numerical
V12,ESS8#V12,numerical
BL,total#BL,numerical
V04,total#V04,numerical
V06,total#V06,numerical
V08,total#V08,numerical
V10,total#V10,numerical
V12,total#V12,numerical
BL,HVLTRDLY#BL,numerical
V04,HVLTRDLY#V04,numerical
V06,HVLTRDLY#V06,numerical
V08,HVLTRDLY#V08,numerical
V10,HVLTRDLY#V10,numerical
V12,HVLTRDLY#V12,numerical
BL,HVLTREC#BL,numerical
V04,HVLTREC#V04,numerical
V06,HVLTREC#V06,numerical
V08,HVLTREC#V08,numerical
V10,HVLTREC#V10,numerical
V12,HVLTREC#V12,numerical
BL,HVLTRT1#BL,numerical
V04,HVLTRT1#V04,numerical
V06,HVLTRT1#V06,numerical
V08,HVLTRT1#V08,numerical
V10,HVLTRT1#V10,numerical
V12,HVLTRT1#V12,numerical
BL,HVLTRT2#BL,numerical
V04,HVLTRT2#V04,numerical
V06,HVLTRT2#V06,numerical
V08,HVLTRT2#V08,numerical
V10,HVLTRT2#V10,numerical
V12,HVLTRT2#V12,numerical
BL,HVLTRT3#BL,numerical
V04,HVLTRT3#V04,numerical
V06,HVLTRT3#V06,numerical
V08,HVLTRT3#V08,numerical
V10,HVLTRT3#V10,numerical
V12,HVLTRT3#V12,numerical
BL,LNS_TOTRAW#BL,numerical
V04,LNS_TOTRAW#V04,numerical
V06,LNS_TOTRAW#V06,numerical
V08,LNS_TOTRAW#V08,numerical
V10,LNS_TOTRAW#V10,numerical
V12,LNS_TOTRAW#V12,numerical
BL,MCAABSTR#BL,numerical
V04,MCAABSTR#V04,numerical
V06,MCAABSTR#V06,numerical
V08,MCAABSTR#V08,numerical
V10,MCAABSTR#V10,numerical
V12,MCAABSTR#V12,numerical
BL,MCATOT#BL,numerical
V04,MCATOT#V04,numerical
V06,MCATOT#V06,numerical
V08,MCATOT#V08,numerical
V10,MCATOT#V10,numerical
V12,MCATOT#V12,numerical
BL,MCAVFNUM#BL,numerical
V04,MCAVFNUM#V04,numerical
V06,MCAVFNUM#V06,numerical
V08,MCAVFNUM#V08,numerical
V10,MCAVFNUM#V10,numerical
V12,MCAVFNUM#V12,numerical
BL,attention#BL,numerical
V04,attention#V04,numerical
V06,attention#V06,numerical
V08,attention#V08,numerical
V10,attention#V10,numerical
V12,attention#V12,numerical
BL,delayed_recall#BL,numerical
V04,delayed_recall#V04,numerical
V06,delayed_recall#V06,numerical
V08,delayed_recall#V08,numerical
V10,delayed_recall#V10,numerical
V12,delayed_recall#V12,numerical
BL,language#BL,numerical
V04,language#V04,numerical
V06,language#V06,numerical
V08,language#V08,numerical
V10,language#V10,numerical
V12,language#V12,numerical
BL,naming#BL,numerical
V04,naming#V04,numerical
V06,naming#V06,numerical
V08,naming#V08,numerical
V10,naming#V10,numerical
V12,naming#V12,numerical
BL,visuospatial#BL,numerical
V04,visuospatial#V04,numerical
V06,visuospatial#V06,numerical
